date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:02:01	12754/12754	---M--	200	added ('OK')	image/webp	etag:%22613af8b1-31d2%22	https://btech.id/media/images/customers/esdm.webp	btech.id/media/images/customers/esdm.webp	(from https://btech.id/)
23:02:02	1466/1466	---M--	200	added ('OK')	image/webp	etag:%2262050135-5ba%22	https://btech.id/media/images/customers/delta-data.webp	btech.id/media/images/customers/delta-data.webp	(from https://btech.id/)
23:02:03	2732/2732	---M--	200	added ('OK')	image/webp	etag:%22615679d9-aac%22	https://btech.id/media/images/customers/gwen-tekno.webp	btech.id/media/images/customers/gwen-tekno.webp	(from https://btech.id/)
23:02:04	11768/11768	---M--	200	added ('OK')	image/webp	etag:%22613af903-2df8%22	https://btech.id/media/images/customers/itb.webp	btech.id/media/images/customers/itb.webp	(from https://btech.id/)
23:02:05	3524/3524	---M--	200	added ('OK')	image/webp	etag:%22613af8e4-dc4%22	https://btech.id/media/images/customers/idn.webp	btech.id/media/images/customers/idn.webp	(from https://btech.id/)
23:02:06	2338/2338	---M--	200	added ('OK')	image/webp	etag:%22629f14c0-922%22	https://btech.id/media/images/customers/new-infomedia.webp	btech.id/media/images/customers/new-infomedia.webp	(from https://btech.id/)
23:02:07	5180/5180	---M--	200	added ('OK')	image/webp	etag:%22629f1439-143c%22	https://btech.id/media/images/customers/new-bankjateng.webp	btech.id/media/images/customers/new-bankjateng.webp	(from https://btech.id/)
23:02:08	7024/7024	---M--	200	added ('OK')	image/webp	etag:%22613af7bd-1b70%22	https://btech.id/media/images/customers/idcommerce.webp	btech.id/media/images/customers/idcommerce.webp	(from https://btech.id/)
23:02:09	7272/7272	---M--	200	added ('OK')	image/webp	etag:%22613af7dd-1c68%22	https://btech.id/media/images/customers/kemendesa.webp	btech.id/media/images/customers/kemendesa.webp	(from https://btech.id/)
23:02:10	3872/3872	---M--	200	added ('OK')	image/webp	etag:%22613afa6d-f20%22	https://btech.id/media/images/customers/sindo-logo.webp	btech.id/media/images/customers/sindo-logo.webp	(from https://btech.id/)
23:02:11	7654/7654	---M--	200	added ('OK')	image/webp	etag:%2262050143-1de6%22	https://btech.id/media/images/customers/pan-solusi.webp	btech.id/media/images/customers/pan-solusi.webp	(from https://btech.id/)
23:02:12	3582/3582	---M--	200	added ('OK')	image/webp	etag:%22614bdbc5-dfe%22	https://btech.id/media/images/customers/17_plti_2.webp	btech.id/media/images/customers/17_plti_2.webp	(from https://btech.id/)
23:02:13	2928/2928	---M--	200	added ('OK')	image/webp	etag:%22629f1529-b70%22	https://btech.id/media/images/customers/new-peruri.webp	btech.id/media/images/customers/new-peruri.webp	(from https://btech.id/)
23:02:14	2110/2110	---M--	200	added ('OK')	image/webp	etag:%22613af985-83e%22	https://btech.id/media/images/customers/RIXS_logo.webp	btech.id/media/images/customers/RIXS_logo.webp	(from https://btech.id/)
23:02:15	1154/1154	---M--	200	added ('OK')	image/webp	etag:%226295bc99-482%22	https://btech.id/media/images/customers/smartfren.webp	btech.id/media/images/customers/smartfren.webp	(from https://btech.id/)
23:02:16	10868/10868	---M--	200	added ('OK')	image/webp	etag:%2261ee6051-2a74%22	https://btech.id/media/images/partners/bgn.webp	btech.id/media/images/partners/bgn.webp	(from https://btech.id/)
23:02:17	9680/9680	---M--	200	added ('OK')	image/webp	etag:%2261ee5d12-25d0%22	https://btech.id/media/images/partners/canonical.webp	btech.id/media/images/partners/canonical.webp	(from https://btech.id/)
23:02:18	7736/7736	---M--	200	added ('OK')	image/webp	etag:%2261de8fb9-1e38%22	https://btech.id/media/images/partners/cartenz-logo.webp	btech.id/media/images/partners/cartenz-logo.webp	(from https://btech.id/)
23:02:19	8690/8690	---M--	200	added ('OK')	image/webp	etag:%2261ee5f37-21f2%22	https://btech.id/media/images/partners/cncf.webp	btech.id/media/images/partners/cncf.webp	(from https://btech.id/)
23:02:20	12494/12494	---M--	200	added ('OK')	image/png	etag:%226008e846-30ce%22	https://btech.id/media/images/partners/comptia_jxx505M.png	btech.id/media/images/partners/comptia_jxx505M.png	(from https://btech.id/)
23:02:21	10273/10273	---M--	200	added ('OK')	image/png	etag:%226008e0bf-2821%22	https://btech.id/media/images/partners/lf.png	btech.id/media/images/partners/lf.png	(from https://btech.id/)
23:02:22	21107/21107	---M--	200	added ('OK')	image/png	etag:%226008f1a1-5273%22	https://btech.id/media/images/partners/nds.png	btech.id/media/images/partners/nds.png	(from https://btech.id/)
23:02:23	18667/18667	---M--	200	added ('OK')	image/png	etag:%226008e51d-48eb%22	https://btech.id/media/images/partners/oif.png	btech.id/media/images/partners/oif.png	(from https://btech.id/)
23:02:24	8816/8816	---M--	200	added ('OK')	image/webp	etag:%2261ee5cfe-2270%22	https://btech.id/media/images/partners/redhat.webp	btech.id/media/images/partners/redhat.webp	(from https://btech.id/)
23:02:25	7380/7380	---M--	200	added ('OK')	image/webp	etag:%2261ee5e6f-1cd4%22	https://btech.id/media/images/partners/tigera.webp	btech.id/media/images/partners/tigera.webp	(from https://btech.id/)
23:02:26	4021/4021	---M--	200	added ('OK')	image/png	etag:%22613a95c3-fb5%22	https://btech.id/static/images/logo_btech_white.png	btech.id/static/images/logo_btech_white.png	(from https://btech.id/)
23:02:27	28993/28993	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Jun%202022%2016:02:27%20GMT	https://btech.id/images/world-map.png	btech.id/images/world-map.png	(from https://btech.id/)
23:02:29	838795/838795	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261de8e88-ccc8b%22	https://btech.id/static/CACHE/js/output.0adad9d68454.js	btech.id/static/CACHE/js/output.0adad9d68454.js	(from https://btech.id/)
23:02:30	28993/28993	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Jun%202022%2016:02:29%20GMT	https://btech.id/static/template_v2/images/icons/close.png	btech.id/static/template_v2/images/icons/close.2b.delayed	(from https://btech.id/static/CACHE/css/output.5f4188303963.css)
